TITEL   ="............."
VARIABLES = "x", "r"
ZONE T="CNET",          I = 281,   J = 21 F=POINT
#  k=0
0.044937  0.228950 
0.047746  0.229159 
0.050554  0.229320 
0.053363  0.229436 
0.056171  0.229513 
0.058980  0.229555 
0.061788  0.229565 
0.064597  0.229548 
0.067405  0.229509 
0.070214  0.229451 
0.073023  0.229380 
0.075831  0.229299 
0.078640  0.229213 
0.081448  0.229126 
0.084257  0.229043 
0.087065  0.228964 
0.089874  0.228886 
0.092683  0.228807 
0.095491  0.228723 
0.098300  0.228630 
0.101108  0.228527 
0.103917  0.228410 
0.106725  0.228274 
0.109534  0.228119 
0.112342  0.227939 
0.115151  0.227732 
0.117960  0.227496 
0.120768  0.227225 
0.123577  0.226919 
0.126385  0.226572 
0.129194  0.226184 
0.132002  0.225759 
0.134811  0.225304 
0.137620  0.224827 
0.140428  0.224337 
0.143237  0.223840 
0.146045  0.223344 
0.148854  0.222857 
0.151662  0.222387 
0.154471  0.221942 
0.157279  0.221528 
0.160088  0.221154 
0.162896  0.220828 
0.165705  0.220557 
0.168514  0.220349 
0.171322  0.220211 
0.174131  0.220152 
0.176939  0.220178 
0.179748  0.220294 
0.182557  0.220495 
0.185365  0.220779 
0.188174  0.221141 
0.190982  0.221580 
0.193791  0.222090 
0.196599  0.222669 
0.199408  0.223312 
0.202216  0.224018 
0.205025  0.224781 
0.207834  0.225600 
0.210642  0.226469 
0.213451  0.227387 
0.216259  0.228348 
0.219068  0.229350 
0.221876  0.230390 
0.224685  0.231463 
0.227493  0.232567 
0.230302  0.233698 
0.233110  0.234852 
0.235919  0.236027 
0.238728  0.237217 
0.241536  0.238421 
0.244345  0.239634 
0.247153  0.240855 
0.249962  0.242083 
0.252771  0.243317 
0.255579  0.244557 
0.258388  0.245802 
0.261196  0.247053 
0.264005  0.248309 
0.266813  0.249569 
0.269622  0.250833 
0.272430  0.252100 
0.275239  0.253371 
0.278048  0.254644 
0.280856  0.255920 
0.283665  0.257197 
0.286473  0.258476 
0.289282  0.259756 
0.292090  0.261037 
0.294899  0.262318 
0.297707  0.263599 
0.300516  0.264879 
0.303325  0.266159 
0.306133  0.267437 
0.308942  0.268713 
0.311750  0.269986 
0.314559  0.271258 
0.317367  0.272526 
0.320176  0.273791 
0.322985  0.275052 
0.325793  0.276308 
0.328602  0.277560 
0.331410  0.278807 
0.334219  0.280048 
0.337027  0.281284 
0.339836  0.282513 
0.342644  0.283735 
0.345453  0.284951 
0.348262  0.286158 
0.351070  0.287358 
0.353879  0.288549 
0.356687  0.289732 
0.359496  0.290905 
0.362304  0.292069 
0.365113  0.293222 
0.367922  0.294366 
0.370730  0.295498 
0.373539  0.296619 
0.376347  0.297729 
0.379156  0.298826 
0.381964  0.299911 
0.384773  0.300983 
0.387581  0.302041 
0.390390  0.303086 
0.393199  0.304117 
0.396007  0.305133 
0.398816  0.306134 
0.401624  0.307120 
0.404433  0.308090 
0.407241  0.309044 
0.410050  0.309981 
0.412859  0.310901 
0.415667  0.311804 
0.418476  0.312689 
0.421284  0.313555 
0.424093  0.314403 
0.426901  0.315232 
0.429710  0.316042 
0.432518  0.316831 
0.435327  0.317600 
0.438136  0.318349 
0.440944  0.319076 
0.443753  0.319783 
0.446561  0.320470 
0.449370  0.321136 
0.452178  0.321783 
0.454987  0.322411 
0.457795  0.323020 
0.460604  0.323610 
0.463413  0.324182 
0.466221  0.324736 
0.469030  0.325273 
0.471838  0.325793 
0.474647  0.326296 
0.477455  0.326782 
0.480264  0.327253 
0.483073  0.327707 
0.485881  0.328147 
0.488690  0.328571 
0.491498  0.328981 
0.494307  0.329377 
0.497115  0.329759 
0.499924  0.330128 
0.502732  0.330484 
0.505541  0.330828 
0.508350  0.331160 
0.511158  0.331480 
0.513967  0.331790 
0.516775  0.332089 
0.519584  0.332377 
0.522392  0.332656 
0.525201  0.332926 
0.528009  0.333187 
0.530818  0.333438 
0.533627  0.333678 
0.536435  0.333908 
0.539244  0.334126 
0.542052  0.334332 
0.544861  0.334524 
0.547669  0.334704 
0.550478  0.334869 
0.553287  0.335019 
0.556095  0.335154 
0.558904  0.335272 
0.561712  0.335374 
0.564521  0.335459 
0.567329  0.335528 
0.570138  0.335582 
0.572946  0.335621 
0.575755  0.335645 
0.578564  0.335655 
0.581372  0.335652 
0.584181  0.335637 
0.586989  0.335610 
0.589798  0.335571 
0.592606  0.335521 
0.595415  0.335460 
0.598223  0.335390 
0.601032  0.335311 
0.603841  0.335223 
0.606649  0.335127 
0.609458  0.335024 
0.612266  0.334913 
0.615075  0.334795 
0.617883  0.334667 
0.620692  0.334528 
0.623501  0.334377 
0.626309  0.334213 
0.629118  0.334035 
0.631926  0.333841 
0.634735  0.333630 
0.637543  0.333401 
0.640352  0.333152 
0.643161  0.332883 
0.645969  0.332591 
0.648778  0.332277 
0.651586  0.331938 
0.654395  0.331573 
0.657203  0.331180 
0.660012  0.330761 
0.662820  0.330316 
0.665629  0.329848 
0.668438  0.329358 
0.671246  0.328848 
0.674055  0.328320 
0.676863  0.327776 
0.679672  0.327218 
0.682480  0.326648 
0.685289  0.326068 
0.688097  0.325480 
0.690906  0.324885 
0.693715  0.324286 
0.696523  0.323684 
0.699332  0.323082 
0.702140  0.322481 
0.704949  0.321883 
0.707757  0.321290 
0.710566  0.320704 
0.713374  0.320128 
0.716183  0.319562 
0.718992  0.319008 
0.721800  0.318465 
0.724609  0.317934 
0.727417  0.317413 
0.730226  0.316902 
